/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24062    1.137    0.000    1.137    0.000 {built-in method _hashlib.openssl_sha256}
    24061    0.180    0.000    0.180    0.000 {method 'read' of '_io.BufferedReader' objects}
    24062    0.148    0.000    0.148    0.000 {built-in method io.open}
    24061    0.083    0.000    1.563    0.000 find_file_by_cash.py:7(calc_hash)
109905/9062    0.067    0.000    0.225    0.000 os.py:277(walk)
    42190    0.063    0.000    0.063    0.000 {built-in method builtins.next}
    33145    0.048    0.000    0.078    0.000 posixpath.py:75(join)
        1    0.037    0.037    1.881    1.881 find_file_by_cash.py:13(get_files_by_hash)
     9068    0.029    0.000    0.029    0.000 {built-in method posix.lstat}
     9061    0.028    0.000    0.028    0.000 {built-in method posix.scandir}
    24061    0.016    0.000    0.016    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
    33147    0.009    0.000    0.015    0.000 posixpath.py:41(_get_sep)
    36863    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
     9068    0.006    0.000    0.037    0.000 posixpath.py:168(islink)
    42375    0.006    0.000    0.006    0.000 {built-in method posix.fspath}
       54    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
     71/1    0.005    0.000    1.927    1.927 {built-in method builtins.exec}
    33439    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
    33252    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
    33129    0.004    0.000    0.004    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
    36308    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
  151/147    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
        5    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
     9068    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
   103/34    0.001    0.000    0.003    0.000 sre_parse.py:470(_parse)
      285    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      141    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
   207/28    0.001    0.000    0.004    0.000 sre_compile.py:64(_compile)
       54    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      700    0.001    0.000    0.002    0.000 enum.py:803(__and__)
     1572    0.001    0.000    0.001    0.000 enum.py:517(__new__)
     1575    0.001    0.000    0.002    0.000 enum.py:267(__call__)
       54    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      742    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
  350/172    0.000    0.000    0.001    0.000 sre_parse.py:173(getwidth)
        8    0.000    0.000    0.001    0.000 enum.py:124(__new__)
      919    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
