% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.80    0.160683           3     47789           read
 15.81    0.088229           3     33262         2 openat
 15.25    0.085100           1     57428           fstat
 12.42    0.069297           1     48233         6 lseek
  9.80    0.054655           2     33263           close
  7.50    0.041838           2     18148           getdents
  6.26    0.034921           1     24076     24064 ioctl
  4.05    0.022621           2      9077           lstat
  0.07    0.000397           1       487        53 stat
  0.01    0.000069           4        16           munmap
  0.01    0.000047           1        73           mmap
  0.01    0.000042           2        27           brk
  0.01    0.000040           1        32           mprotect
  0.00    0.000020           2        10           futex
  0.00    0.000006           1        12        12 access
  0.00    0.000005           2         3           fcntl
  0.00    0.000004           1         4         2 readlink
  0.00    0.000003           3         1           getcwd
  0.00    0.000000           0         2           write
  0.00    0.000000           0        68           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         3           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.557977                272032     24139 total
